Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,deviation_factor,Number_of-units,cost,area,vert/hori_area_factor_z-axis,Avg_curvature_angle_z axis,vert/hori_area_factor_x-axis,Avarage curvatrure angle x axis,vert/hori_area_factor_y-axis,Avg_curvature_angle_y axis
-0.193355,0.426856,0.769444,-0.470676,0.025516,0.164203,-0.047398,-0.141872,-0.484176,0.096865,118,576,19.635994,0.00858,76.291917,0.009342,26.188136,0.005118,30.709551
-0.195199,0.434933,0.77834,-0.476206,0.025384,0.166806,-0.052994,-0.144246,-0.486724,0.098308,116,895,19.713456,0.005998,75.950089,0.00681,26.718149,0.010104,31.163506
-0.192894,0.435244,0.776321,-0.473546,0.025677,0.168037,-0.053545,-0.145375,-0.483024,0.098313,120,444,19.699051,0.004737,75.994149,0.005725,26.609253,0.008803,31.122321
-0.137771,0.344616,0.642372,-0.369893,0.031814,0.155061,0.004661,-0.133267,-0.399602,0.090718,107,382,18.683805,0.012452,78.925424,0.008857,22.850481,0.0063,28.129833
-0.09702,0.282566,0.547852,-0.295376,0.036588,0.147672,0.04403,-0.126134,-0.337772,0.091014,101,613,18.100483,0.015207,80.794068,0.012132,20.752646,0.012569,25.734454
-0.065687,0.238289,0.478282,-0.239519,0.040334,0.143585,0.071583,-0.122074,-0.290032,0.088248,90,356,17.748579,0.01611,82.254,0.021755,18.91495,0.010822,23.80396
-0.041165,0.205765,0.425761,-0.196687,0.043262,0.141412,0.091359,-0.119867,-0.252505,0.082013,83,387,17.537726,0.024361,82.727368,0.005685,17.786598,0.020771,23.071875
-0.021988,0.181345,0.385626,-0.163617,0.045487,0.140266,0.10585,-0.118722,-0.223042,0.081383,86,353,17.408233,0.030475,83.260887,0.030108,17.172289,0.005683,21.836471
-0.606268,-0.589163,-0.500345,-0.59298,-0.444581,-0.345967,-0.141792,-0.180897,-0.394849,0.101042,135,498,22.029952,0.00819,70.858248,0.008207,34.989956,0.006567,29.312791
-0.593482,-0.584305,-0.483105,-0.568316,-0.437817,-0.329382,-0.124408,-0.186126,-0.393946,0.102175,132,490,21.689453,0.009518,71.06872,0.005395,34.170283,0.004433,29.977358
-0.520639,-0.557328,-0.438853,-0.470035,-0.377431,-0.28979,-0.045107,-0.160582,-0.368885,0.115626,128,504,20.352377,0.021054,73.401047,0.005707,31.374783,0.010992,29.728028
-0.481374,-0.541868,-0.40263,-0.41634,-0.353087,-0.257482,-0.004308,-0.161058,-0.358576,0.095131,121,393,19.673963,0.015352,75.348225,0.006013,29.205372,0.007378,28.495643
-0.440881,-0.524375,-0.363912,-0.386126,-0.338289,-0.226466,0.018884,-0.169821,-0.345228,0.094221,108,399,19.158608,0.011724,77.029949,0.009823,27.60533,0.005048,26.545477
-0.401367,-0.506781,-0.32466,-0.360449,-0.326064,-0.195646,0.03843,-0.180806,-0.331957,0.098435,114,399,18.731905,0.0355,77.504268,None,27.740237,0.007656,25.525816
-0.360501,-0.487649,-0.282329,-0.346161,-0.31904,-0.164023,0.049253,-0.197444,-0.317089,0.101609,116,390,18.428556,0.018132,78.833208,0.012177,25.745956,0.020044,25.761654
-0.327435,-0.470131,-0.242471,-0.31259,-0.305285,-0.132935,0.073754,-0.206664,-0.309298,0.107647,111,368,18.175329,0.034879,80.186538,0.010852,23.417045,0.005809,24.664045
-0.296251,-0.429696,-0.175386,-0.288413,-0.286937,-0.094941,0.091006,-0.216928,-0.310146,0.094302,106,409,17.915949,0.051193,80.731343,0.00066,21.510849,0.002312,24.37217
