Overhang,Inclusion,Exclusion,Porosity,Volume,Surface Area,Compactness,Eccentricity,Total Blocks,Total Cost,Layer Diff Sum,Layer Diff Max
2873.68073317,0.815114310031,0.184809853112,0.4928696598,16116.3272438,6764.31077399,0.131063265336,1.85028818891,1168.04810312,3522.66258469,105.403548463,23.0894138735
2783.49949542,0.817598500984,0.182706732484,0.488616655537,15539.7571976,6627.94015306,0.125909367387,1.83918423461,1150.35831305,3449.30116122,107.367696171,23.0831993817
2761.64529582,0.820764446465,0.17966235324,0.481436567706,15812.8448757,6561.37530723,0.137006869507,1.81413313877,1139.80051278,3414.57078337,109.089431638,22.9381089650
2763.27105167,0.817026652027,0.182968301491,0.489913022727,15346.9189592,6600.70872851,0.124339009826,1.84168650845,1147.19379865,3435.79724459,107.258856874,23.1032887779
2750.73203421,0.814222051323,0.185777105474,0.497377984916,14800.2032556,6617.97477434,0.11099484581,1.86717586431,1151.60858276,3444.59957343,105.899870101,23.2646750470
2804.76586049,0.808237916557,0.191762083046,0.511677757812,14421.3401570,6761.16905882,0.0935361266668,1.91116114207,1174.22449129,3521.02954246,102.381083000,23.4994161138
2877.86251432,0.802186631485,0.197813368515,0.525785188272,14206.6536337,6931.75664187,0.0780367646359,1.95187596079,1200.46049807,3612.20450220,98.6423604336,23.6946871820
2816.98981221,0.801854457369,0.198145542631,0.527271336177,14322.4500440,6762.39245378,0.0917935173317,2.05844578766,1169.60743593,3527.88245715,101.646882101,25.0054477492
2802.14717673,0.802491119415,0.197508880585,0.525888936105,14327.3018057,6728.61496833,0.0940519070549,2.06165596795,1164.17831460,3510.20827344,102.281553505,25.0774882959
2664.67992252,0.808915912337,0.191084087663,0.511649704386,14560.7915300,6396.27738378,0.120520794188,2.10053792290,1109.68114297,3337.23678563,108.814486566,25.8904984654
2549.72117978,0.814154582827,0.185845417173,0.500343423814,14697.3965628,6121.10292265,0.141073295194,2.13277764664,1064.57270297,3193.87798296,113.921442320,26.5185845179
2254.35093876,0.825551359552,0.174448640448,0.490307823976,13413.4949420,5403.80025955,0.153361819612,2.25628239886,939.817465290,2819.00124315,112.851135536,26.2638558346
2155.98679115,0.829544223922,0.170455776078,0.483251915323,13272.8991613,5177.64756930,0.16410462413,2.28321224607,902.585518897,2700.61244395,115.507492489,26.5470884940
2070.32061666,0.832905191554,0.167094808446,0.477160581485,13110.3295099,4988.83099103,0.172095604975,2.30094182212,872.078706997,2601.36407870,117.856490460,26.7612942407
1992.95039017,0.83590474476,0.16409525524,0.471433876037,12921.8874011,4828.41635227,0.177804149175,2.30758666377,846.981011991,2516.45443129,120.060174443,26.8953401456
1920.62107724,0.838867157689,0.161132842311,0.465235814724,12708.9123535,4691.36594226,0.181571930986,2.29763151090,826.746771478,2442.92738433,122.312645470,26.9111024887
1853.89287435,0.842491595155,0.157508404845,0.456592426257,12517.0839756,4579.18360969,0.184374490854,2.25534253616,812.172478867,2380.59708595,124.862996040,26.6744363423
1779.68916479,0.847295181433,0.152704818567,0.443904631795,12252.8769622,4487.96035670,0.184435393896,2.15944903901,804.579095737,2327.23281073,128.314984564,26.0730726467
1698.64904159,0.855951465769,0.144048534231,0.419212308558,12025.6580542,4439.97705615,0.182938344562,1.93246216748,810.914502941,2290.48143704,133.836123992,24.4909929274
1681.29992577,0.855231678829,0.144768321171,0.421683726922,11918.0312113,4398.62489345,0.183114844551,1.96834799853,803.218673857,2270.00346313,133.937309642,24.8270034610
1668.16892980,0.852974340346,0.147025659654,0.428495367971,11792.6109952,4350.60826516,0.183280339551,2.04784785447,792.378005200,2247.96043181,133.427673838,25.5209029519
1676.81172087,0.840591914001,0.159408085999,0.464917174899,11559.5970363,4225.53247672,0.185462262085,2.44000855039,753.602627969,2198.95399669,128.544577234,28.7089661136
1677.62551547,0.829200604042,0.170799395958,0.496998058059,11361.6234966,4108.07502909,0.18843730982,2.79480829972,718.983294144,2150.86671019,125.406064195,31.8003274334
1676.77725818,0.816534941918,0.183465058082,0.530176436845,11175.6882830,4006.61193976,0.191377479554,3.15941269157,688.488294020,2110.98517342,123.763028167,35.2982141010
1694.20553879,0.802215683592,0.197784316408,0.564481847963,11165.4355735,3953.45097078,0.196112193601,3.53289759258,666.872634508,2095.92986865,123.704710457,39.2502117130
1659.83674423,0.793463350188,0.206536649812,0.587299961496,10732.4264252,3859.83829178,0.19296321169,3.77054938001,645.313425699,2057.10427824,123.441402695,41.6811931187
1508.22300577,0.808386911492,0.191613088508,0.566309756484,9913.95923918,3467.04149732,0.19442567087,3.66215918931,577.532551589,1843.41172744,117.933201220,38.7333194640
1295.23327564,0.834435245128,0.165564754872,0.529346985879,8377.02480650,2927.49813295,0.184898715093,3.38707916342,485.709633950,1544.91809566,105.589382328,32.5120423133
958.842281982,0.861118215615,0.138881784385,0.50202853904,5621.23394213,2108.06681389,0.163013840472,3.22863270381,342.862461727,1104.41165779,88.3612385202,26.2754615218
823.817490104,0.86610602769,0.13389397231,0.501219737496,4422.55409360,1833.79065399,0.150346231254,3.23609716164,296.887148907,963.004716642,83.8889947551,25.1618245961
2890.32498314,0.81625666583,0.18316609584,0.490045218256,16432.6005957,6776.29774521,0.136494393292,1.84039323726,1167.96145151,3528.08941630,106.153498731,23.0564604640
2772.09455750,0.823223509584,0.176964824279,0.475124583208,16228.3318440,6549.91423001,0.14617971588,1.79901247143,1136.01273540,3407.60776035,110.421549087,22.8844461018
2759.36084174,0.821601072536,0.178429089856,0.479345374539,15917.2273699,6548.09322990,0.139376577651,1.80798816329,1137.05518733,3406.91080013,109.669464908,22.9102234728
2761.11568281,0.818116455851,0.181897446197,0.48727950122,15547.9299833,6586.57687616,0.129360044435,1.83260811913,1144.97016857,3428.49439623,107.895507896,23.0568007467
